iter	Passed	Remaining
0	1	136
1	2	121
2	3	110
3	4	108
4	5	103
5	6	102
6	7	101
7	8	100
8	10	103
9	11	101
10	12	99
11	13	97
12	14	97
13	15	95
14	16	96
15	17	94
16	19	93
17	20	92
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	28	84
25	29	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	90	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
