iter	Passed	Remaining
0	161	161181
1	162	81193
2	164	54514
3	165	41168
4	166	33169
5	168	27848
6	169	24028
7	170	21159
8	173	19156
9	175	17360
10	176	15878
11	177	14644
12	179	13615
13	180	12725
14	181	11949
15	183	11270
16	184	10669
17	185	10140
18	187	9690
19	189	9273
20	190	8888
21	192	8549
22	193	8223
23	194	7920
24	195	7639
25	197	7383
26	198	7146
27	202	7026
28	203	6821
29	204	6627
30	206	6444
31	207	6273
32	208	6117
33	210	5967
34	211	5824
35	212	5692
36	213	5560
37	217	5498
38	218	5384
39	219	5277
40	221	5172
41	222	5072
42	223	4980
43	225	4888
44	226	4799
45	227	4714
46	228	4634
47	230	4566
48	231	4490
49	232	4419
50	233	4352
51	235	4287
52	236	4224
53	237	4163
54	238	4105
55	240	4051
56	241	3994
57	243	3957
58	245	3907
59	247	3871
60	249	3845
61	251	3801
62	252	3758
63	254	3715
64	255	3674
65	259	3671
66	260	3632
67	262	3592
68	263	3553
69	264	3516
70	266	3485
71	268	3455
72	269	3423
73	270	3388
74	275	3394
75	276	3361
76	278	3333
77	279	3309
78	281	3279
79	282	3250
80	284	3223
81	285	3198
82	286	3163
83	289	3157
84	291	3139
85	296	3154
86	299	3142
87	300	3119
88	305	3128
89	306	3103
90	308	3078
91	309	3054
92	310	3029
93	311	3006
94	313	2983
95	314	2964
96	316	2944
97	319	2943
98	321	2923
99	322	2901
100	323	2879
101	325	2864
102	326	2845
103	327	2825
104	329	2811
105	331	2792
106	335	2796
107	337	2787
108	350	2865
109	352	2848
110	353	2830
111	354	2810
112	355	2792
113	358	2787
114	360	2777
115	362	2765
116	364	2752
117	367	2748
118	369	2736
119	377	2770
120	380	2764
121	385	2777
122	391	2789
123	392	2774
124	394	2760
125	395	2745
126	397	2730
127	398	2713
128	399	2698
129	400	2682
130	403	2679
131	405	2664
132	406	2648
133	407	2633
134	413	2646
135	414	2635
136	416	2621
137	419	2623
138	421	2609
139	422	2594
140	423	2581
141	424	2565
142	426	2554
143	427	2541
144	428	2527
145	429	2514
146	430	2500
147	433	2494
148	434	2483
149	435	2470
150	436	2456
151	437	2443
152	439	2430
153	440	2417
154	441	2404
155	442	2391
156	442	2378
157	443	2365
158	444	2352
159	445	2339
160	446	2325
161	449	2323
162	450	2311
163	451	2299
164	452	2287
165	452	2275
166	453	2264
167	454	2252
168	455	2240
169	457	2231
170	457	2220
171	458	2209
172	459	2198
173	460	2187
174	463	2182
175	464	2173
176	465	2163
177	466	2153
178	467	2144
179	471	2145
180	472	2137
181	473	2129
182	475	2124
183	477	2118
184	483	2131
185	485	2123
186	487	2120
187	488	2111
188	490	2103
189	491	2094
190	492	2086
191	493	2077
192	496	2074
193	497	2066
194	498	2057
195	499	2049
196	501	2042
197	503	2038
198	504	2030
199	505	2022
200	507	2016
201	509	2013
202	511	2008
203	513	2001
204	514	1994
205	528	2038
206	530	2033
207	537	2046
208	539	2041
209	540	2034
210	543	2030
211	545	2026
212	546	2019
213	551	2025
214	552	2018
215	555	2015
216	559	2017
217	560	2008
218	561	2000
219	562	1992
220	570	2009
221	571	2002
222	572	1996
223	574	1988
224	575	1980
225	576	1972
226	577	1965
227	578	1957
228	579	1952
229	581	1946
230	582	1938
231	583	1931
232	584	1925
233	589	1930
234	591	1925
235	593	1922
236	595	1917
237	596	1910
238	597	1903
239	598	1896
240	599	1888
241	601	1882
242	606	1890
243	608	1884
244	609	1877
245	610	1870
246	611	1863
247	612	1856
248	613	1850
249	614	1843
250	615	1837
251	620	1842
252	621	1836
253	623	1829
254	624	1824
255	625	1817
256	626	1811
257	627	1805
258	628	1799
259	629	1793
260	633	1794
261	635	1789
262	636	1783
263	638	1780
264	639	1774
265	640	1768
266	641	1762
267	642	1756
268	643	1749
269	644	1743
270	648	1743
271	649	1738
272	650	1733
273	651	1727
274	653	1722
275	654	1716
276	655	1710
277	656	1704
278	657	1698
279	658	1692
280	659	1687
281	660	1681
282	663	1680
283	664	1675
284	665	1669
285	666	1663
286	667	1658
287	668	1652
288	669	1646
289	670	1640
290	671	1635
291	672	1629
292	673	1625
293	675	1620
294	676	1617
295	678	1613
296	679	1608
297	680	1602
298	681	1597
299	682	1591
300	683	1586
301	684	1581
302	685	1576
303	686	1570
304	687	1565
305	688	1560
306	689	1555
307	689	1550
308	691	1545
309	692	1542
310	693	1537
311	694	1532
312	696	1528
313	697	1524
314	698	1519
315	699	1514
316	700	1509
317	701	1504
318	702	1499
319	703	1494
320	704	1489
321	705	1484
322	708	1484
323	709	1480
324	710	1475
325	711	1472
326	713	1467
327	714	1463
328	715	1459
329	716	1454
330	717	1449
331	718	1445
332	719	1440
333	721	1438
334	722	1434
335	723	1430
336	724	1425
337	726	1422
338	727	1418
339	728	1413
340	729	1409
341	730	1404
342	730	1400
343	731	1395
344	732	1391
345	733	1386
346	737	1388
347	740	1387
348	741	1383
349	744	1382
350	745	1379
351	747	1375
352	748	1371
353	749	1367
354	756	1374
355	758	1372
356	760	1369
357	762	1367
358	764	1364
359	768	1366
360	769	1362
361	771	1359
362	773	1358
363	775	1355
364	777	1351
365	778	1348
366	779	1344
367	782	1344
368	784	1341
369	786	1339
370	788	1336
371	789	1332
372	791	1330
373	793	1327
374	794	1324
375	799	1326
376	801	1325
377	803	1321
378	804	1317
379	805	1314
380	806	1310
381	807	1306
382	809	1303
383	812	1303
384	814	1300
385	815	1297
386	817	1294
387	818	1291
388	820	1288
389	821	1285
390	822	1281
391	823	1277
392	828	1278
393	829	1276
394	831	1274
395	833	1270
396	834	1267
397	835	1263
398	836	1260
399	837	1256
400	838	1252
401	841	1252
402	843	1249
403	845	1247
404	848	1245
405	849	1242
406	853	1243
407	857	1243
408	858	1240
409	859	1237
410	860	1233
411	862	1230
412	865	1229
413	866	1227
414	867	1223
415	872	1224
416	873	1221
417	874	1218
418	876	1215
419	879	1214
420	881	1212
421	882	1208
422	888	1211
423	890	1209
424	891	1206
425	893	1204
426	894	1200
427	895	1197
428	897	1194
429	901	1195
430	903	1192
431	904	1189
432	906	1187
433	908	1184
434	909	1181
435	910	1178
436	911	1174
437	914	1173
438	917	1172
439	920	1171
440	922	1169
441	923	1166
442	924	1162
443	926	1159
444	927	1156
445	928	1153
446	931	1152
447	934	1150
448	935	1147
449	938	1146
450	939	1143
451	941	1141
452	943	1138
453	947	1139
454	950	1138
455	951	1135
456	952	1132
457	954	1129
458	955	1125
459	956	1122
460	958	1120
461	962	1120
462	963	1117
463	968	1118
464	969	1115
465	971	1113
466	976	1114
467	979	1113
468	981	1111
469	983	1109
470	985	1106
471	987	1104
472	988	1101
473	993	1102
474	1001	1107
475	1003	1104
476	1005	1101
477	1010	1103
478	1014	1103
479	1017	1101
480	1018	1099
481	1020	1097
482	1027	1100
483	1029	1097
484	1032	1096
485	1034	1093
486	1035	1091
487	1042	1093
488	1044	1091
489	1046	1088
490	1047	1086
491	1050	1084
492	1054	1084
493	1057	1082
494	1058	1080
495	1060	1077
496	1061	1074
497	1063	1071
498	1064	1069
499	1066	1066
500	1072	1067
501	1074	1065
502	1075	1063
503	1077	1060
504	1079	1058
505	1085	1059
506	1087	1057
507	1089	1055
508	1091	1052
509	1092	1049
510	1093	1046
511	1095	1043
512	1096	1041
513	1098	1038
514	1100	1036
515	1101	1033
516	1102	1030
517	1104	1027
518	1105	1024
519	1106	1021
520	1107	1018
521	1114	1020
522	1115	1017
523	1118	1016
524	1121	1014
525	1122	1011
526	1125	1010
527	1127	1007
528	1128	1005
529	1130	1002
530	1131	999
531	1133	996
532	1134	994
533	1135	991
534	1137	988
535	1141	987
536	1142	985
537	1145	983
538	1146	980
539	1147	977
540	1149	974
541	1150	972
542	1152	970
543	1159	971
544	1161	969
545	1163	967
546	1165	964
547	1170	965
548	1171	962
549	1207	988
550	1209	985
551	1211	982
552	1212	980
553	1217	980
554	1219	978
555	1221	975
556	1227	976
557	1228	973
558	1229	970
559	1231	967
560	1236	967
